2025-12-02 at 20:45:51 | ERROR | no such table: movie
2025-12-02 at 20:45:58 | ERROR | no such table: movie
2025-12-02 at 20:46:27 | ERROR | no such table: movie
2025-12-02 at 20:46:27 | ERROR | no such table: movie
2025-12-02 at 20:51:02 | ERROR | no such table: movie
2025-12-02 at 20:52:33 | ERROR | no such table: movie
2025-12-02 at 20:53:06 | ERROR | no such table: movie
2025-12-02 at 20:53:39 | ERROR | no such table: movie
2025-12-02 at 20:53:43 | ERROR | no such table: movie
2025-12-02 at 20:54:30 | ERROR | no such table: movie
2025-12-02 at 20:54:47 | ERROR | no such table: movie
2025-12-02 at 20:55:11 | ERROR | no such table: movie
2025-12-02 at 20:56:59 | ERROR | no such table: movie
2025-12-02 at 20:57:19 | ERROR | no such table: movie
2025-12-02 at 20:57:24 | ERROR | no such table: movie
2025-12-02 at 20:58:17 | ERROR | no such table: movie
